,st_pmralim,ra,st_logglim,st_tmagerr1,st_pmdec,st_radlim,st_tmag,st_pmra,st_pmdecerr2,st_radsymerr,st_tefferr2,st_dist,st_loggsymerr,st_distsymerr,st_tefflim,st_distlim,st_disterr2,st_teff,st_loggerr2,dec,st_tmagsymerr,st_pmdeclim,st_pmraerr2,st_rad,st_loggerr1,st_tmagerr2,st_pmrasymerr,st_logg,st_teffsymerr,st_pmdecerr1,st_tmaglim,st_pmdecsymerr,st_disterr1,st_raderr1,st_pmraerr1,st_tefferr1,st_raderr2,tfopwg_disp
60,0.0,290.977117,0,0.006,-8.192,0,8.8849,-18.692,-0.059,1,-188.0,263.729,1,1,0,0,-2.8735,5664.0,-0.355261,-33.351416,1,0.0,-0.065,3.86959,0.355261,-0.006,1.0,3.26574,1,0.059,0,1.0,2.8735,0.644568,0.065,188.0,-0.644568,NOT PLANET
61,0.0,302.114174,0,0.006,-15.903,0,8.4362,1.594,-0.049,1,-194.0,88.4343,1,1,0,0,-0.28175,6122.0,-0.268555,-54.317501,1,0.0,-0.054,1.17,0.268555,-0.006,1.0,4.30881,1,0.049,0,1.0,0.28175,0.05,0.054,194.0,-0.05,PLANET
62,0.0,293.286615,0,0.006,-82.632,0,8.0888,108.439,-0.052,1,-7.82429,57.2651,1,1,0,0,-0.18695,5783.54,-0.019231,-54.532728,1,0.0,-0.074,0.974669,0.019231,-0.006,1.0,4.49925,1,0.052,0,1.0,0.18695,0.0546984,0.074,7.82429,-0.0546984,PLANET
67,0.0,68.959816,0,0.006,-0.499,0,10.3157,10.845,-0.052,1,,364.411,1,1,0,0,-2.729,6900.0,,-64.027039,1,0.0,-0.035,1.77,,-0.006,1.0,4.438,1,0.052,0,1.0,2.729,0.08,0.035,,-0.08,PLANET
69,0.0,284.688908,0,0.006,-71.79,0,9.7345,24.978,-0.091,1,-186.0,133.171,1,1,0,0,-0.6935,5525.0,-0.29667,-41.242483,1,0.0,-0.089,1.21935,0.29667,-0.006,1.0,4.25342,1,0.091,0,1.0,0.6935,0.16458,0.089,186.0,-0.16458,NOT PLANET
70,0.0,38.120968,0,0.006,30.732,0,9.478,107.847,-0.042,1,-185.0,82.1733,1,1,0,0,-0.1632,5394.0,-0.276077,-78.023683,1,0.0,-0.045,0.89,0.276077,-0.006,1.0,4.50942,1,0.042,0,1.0,0.1632,0.05,0.045,185.0,-0.05,PLANET
72,0.0,296.003935,0,0.006,-100.891,0,10.0059,-3.457,-0.072,1,-178.0,68.0726,1,1,0,0,-0.362,4803.0,-2.00348,-47.56203,1,0.0,-0.124,0.737189,2.00348,-0.006,1.0,4.52079,1,0.072,0,1.0,0.362,0.0567035,0.124,178.0,-0.0567035,PLANET
73,0.0,296.003935,0,0.006,-100.891,0,10.0059,-3.457,-0.072,1,-178.0,68.0726,1,1,0,0,-0.362,4803.0,-2.00348,-47.56203,1,0.0,-0.124,0.737189,2.00348,-0.006,1.0,4.52079,1,0.072,0,1.0,0.362,0.0567035,0.124,178.0,-0.0567035,PLANET
74,0.0,286.36675,0,0.006,-0.862,0,13.2851,7.315,-0.029,1,,639.004,1,1,0,0,-9.4715,5780.0,,-50.06735,1,0.0,-0.037,1.2,,-0.006,1.0,4.32928,1,0.029,0,1.0,9.4715,,0.037,,,PLANET
75,0.0,285.096517,0,0.006,-37.19,0,11.9707,3.99,-0.042,1,,353.891,1,1,0,0,-4.919,5670.0,,-54.893341,1,0.0,-0.054,1.07,,-0.006,1.0,4.3925,1,0.042,0,1.0,4.919,,0.054,,,PLANET
76,0.0,288.672005,0,0.006,6.146,0,13.1686,3.125,-0.029,1,-167.0,263.609,1,1,0,0,-1.659,4351.0,,-59.57935,1,0.0,-0.031,0.76701,,-0.006,1.0,4.438,1,0.029,0,1.0,1.659,,0.031,167.0,,PLANET
77,0.0,284.399762,0,0.006,-5.764,0,13.2887,11.096,-0.042,1,,535.383,1,1,0,0,-7.8145,5498.0,,-49.138513,1,0.0,-0.044,0.92,,-0.006,1.0,4.47934,1,0.042,0,1.0,7.8145,,0.044,,,PLANET
78,0.0,289.479212,0,0.006,-31.803,0,10.4293,-16.778,-0.089,1,-188.0,197.996,1,1,0,0,-3.038,5703.0,-0.298282,-32.860124,1,0.0,-0.108,1.22,0.298282,-0.006,1.0,4.25824,1,0.089,0,1.0,3.038,0.06,0.108,188.0,-0.06,PLANET
79,0.0,313.783239,0,0.006,-44.947,0,9.6433,26.376,-0.059,1,,211.211,1,1,0,0,-2.4835,6153.0,,-34.135751,1,0.0,-0.078,1.71,,-0.006,1.0,4.18077,1,0.059,0,1.0,2.4835,0.07,0.078,,-0.07,PLANET
80,,289.478541,0,0.023,,0,15.7114,,,1,,,1,1,0,0,,5740.0,,-32.861327,1,,,1.28,,-0.023,,4.29219,1,,0,,,,,,,NOT PLANET
81,0.0,280.184169,0,0.006,-30.897,0,11.5803,-27.094,-0.048,1,-188.0,290.198,1,1,0,0,-2.937,5639.0,-2.00387,-58.459388,1,0.0,-0.052,1.11499,2.00387,-0.006,1.0,4.37172,1,0.048,0,1.0,2.937,0.0591758,0.052,188.0,-0.0591758,PLANET
82,0.0,75.627307,0,0.006,32.797,0,11.7106,1.679,-0.04,1,-189.0,703.878,1,1,0,0,-10.696,5765.0,-2.00358,-72.913998,1,0.0,-0.043,2.4494,2.00358,-0.006,1.0,4.34773,1,0.04,0,1.0,10.696,0.11699,0.043,189.0,-0.11699,NOT PLANET
83,0.0,287.484402,0,0.006,4.878,0,13.6699,3.827,-0.038,1,-168.0,300.67,1,1,0,0,-3.806,4444.0,,-49.664942,1,0.0,-0.058,0.6983,,-0.006,1.0,4.438,1,0.038,0,1.0,3.806,,0.058,168.0,,PLANET
85,0.0,309.971209,0,0.007,-59.95,0,11.1186,-99.737,-0.039,1,-170.0,61.4592,1,1,0,0,-0.09435,4046.0,-0.230678,-65.449699,1,0.0,-0.023,0.580337,0.230678,-0.007,1.0,4.60963,1,0.039,0,1.0,0.09435,0.0172756,0.023,170.0,-0.0172756,PLANET
86,0.0,294.633694,0,0.006,-38.112,0,11.2474,5.382,-0.047,1,,248.46,1,1,0,0,-2.1455,5659.0,,-55.330269,1,0.0,-0.051,1.03997,,-0.006,1.0,4.44653,1,0.047,0,1.0,2.1455,0.0519397,0.051,,-0.0519397,PLANET
88,0.0,306.928646,0,0.007,-1230.62,0,10.1165,424.414,-0.073,1,-102.0,20.373,1,1,0,0,-0.0192,3325.0,-0.098941,-56.462287,1,0.0,-0.073,0.390989,0.098941,-0.007,1.0,4.88693,1,0.073,0,1.0,0.0192,0.0117402,0.073,102.0,-0.0117402,PLANET
90,0.0,316.96148,0,0.01,-10.313,0,13.163,3.479,-0.038,1,,421.855,1,1,0,0,-8.339,5523.0,,-26.09672,1,0.0,-0.063,0.809868,,-0.01,1.0,4.52192,1,0.038,0,1.0,8.339,,0.063,,,PLANET
95,0.0,268.890707,0,0.006,-17.577,0,12.2851,1.031,-0.041,1,,494.182,1,1,0,0,-12.174,6346.0,,-61.7474,1,0.0,-0.04,1.14759,,-0.006,1.0,4.38484,1,0.041,0,1.0,12.174,0.061613,0.04,,-0.061613,PLANET
98,0.0,238.001011,0,0.006,-9.267,0,9.4142,-5.338,-0.054,1,-135.5,416.25,1,1,0,0,-5.019,6907.0,-0.09,-76.49349,1,0.0,-0.041,3.09,0.09,-0.006,1.0,3.63,1,0.054,0,1.0,5.019,0.14,0.041,135.5,-0.14,NOT PLANET
100,0.0,228.84306,0,0.01,-5.871,0,10.3918,-10.161,-0.125,1,-368.2,778.127,1,1,0,0,-35.06,11600.0,-0.07,-52.885989,1,0.0,-0.125,2.48,0.07,-0.01,1.0,4.13,1,0.125,0,1.0,35.06,0.13,0.125,368.2,-0.13,NOT PLANET
101,0.0,313.215475,0,0.007,-9.881,0,13.2366,1.053,-0.029,1,,513.011,1,1,0,0,-9.1275,5346.0,,-25.687376,1,0.0,-0.052,0.984866,,-0.007,1.0,4.48823,1,0.029,0,1.0,9.1275,,0.052,,,PLANET
102,0.0,242.016315,0,0.006,2.514,0,10.0196,5.989,-0.049,1,-184.2,566.502,1,1,0,0,-11.2155,7009.8,-0.61,-68.588832,1,0.0,-0.034,2.95,0.61,-0.006,1.0,3.6,1,0.049,0,1.0,11.2155,0.16,0.034,184.2,-0.16,NOT PLANET
104,0.0,217.022882,0,0.006,-21.072,0,9.0039,-49.039,-0.055,1,-136.4,209.919,1,1,0,0,-1.7045,6534.0,-0.09,-64.634285,1,0.0,-0.037,2.04,0.09,-0.006,1.0,3.95,1,0.055,0,1.0,1.7045,0.09,0.037,136.4,-0.09,NOT PLANET
105,0.0,215.805264,0,0.168,-4.442,0,10.0067,-3.135,-0.203,1,,1710.22,1,1,0,0,-633.01,,,-63.045983,1,0.0,-0.134,,,-0.168,1.0,,1,0.203,0,1.0,633.01,,0.134,,,NOT PLANET
108,0.0,133.826684,0,0.006,19.084,0,10.11,-21.883,-0.046,1,-136.4,490.288,1,1,0,0,-5.048,6553.0,-0.09,-73.173308,1,0.0,-0.034,2.8908899,0.09,-0.006,1.0,3.65,1,0.046,0,1.0,5.048,0.125277,0.034,136.4,-0.125277,NOT PLANET
109,0.0,189.775859,0,0.006,-6.874,0,8.7215,-50.359,-0.04,1,-124.0,79.5561,1,1,0,0,-0.14855,5876.0,-0.08,-74.57402,1,0.0,-0.039,0.98,0.08,-0.006,1.0,4.48,1,0.04,0,1.0,0.14855,0.04,0.039,124.0,-0.04,PLANET
110,0.0,189.775859,0,0.006,-6.874,0,8.7215,-50.359,-0.04,1,-124.0,79.5561,1,1,0,0,-0.14855,5876.0,-0.08,-74.57402,1,0.0,-0.039,0.983215,0.08,-0.006,1.0,4.48,1,0.04,0,1.0,0.14855,0.0449925,0.039,124.0,-0.0449925,PLANET
111,0.0,192.589285,0,0.006,-18.086,0,8.7581,-18.776,-0.039,1,-194.0,105.096,1,1,0,0,-0.266,6153.0,-0.271419,-88.121111,1,0.0,-0.039,1.14582,0.271419,-0.006,1.0,4.34814,1,0.039,0,1.0,0.266,0.0509699,0.039,194.0,-0.0509699,PLANET
112,0.0,328.718171,0,0.006,-186.625,0,7.3661,224.864,-0.057,1,-179.0,23.606,1,1,0,0,-0.0179,4867.0,,-77.338802,1,0.0,-0.062,0.8,,-0.006,1.0,4.438,1,0.057,0,1.0,0.0179,0.06,0.062,179.0,-0.06,PLANET
113,0.0,5.618525,0,0.006,-4.893,0,11.6714,-22.309,-0.034,1,,342.14,1,1,0,0,-2.912,5943.0,,-59.942589,1,0.0,-0.036,1.15706,,-0.006,1.0,4.42524,1,0.034,0,1.0,2.912,0.0633669,0.036,,-0.0633669,PLANET
114,0.0,9.126138,0,0.006,1.169,0,10.5135,-0.23,-0.043,1,-129.5,205.43,1,1,0,0,-1.1895,6033.0,-0.08,-83.567067,1,0.0,-0.054,1.14849,0.08,-0.006,1.0,4.37,1,0.043,0,1.0,1.1895,0.0522613,0.054,129.5,-0.0522613,NOT PLANET
115,0.0,319.551469,0,0.006,-5.515,0,10.5891,16.363,-0.047,1,-120.9,262.794,1,1,0,0,-1.538,5803.5,-0.08,-77.529113,1,0.0,-0.037,1.56,0.08,-0.006,1.0,4.07,1,0.047,0,1.0,1.538,0.08,0.037,120.9,-0.08,NOT PLANET
116,0.0,263.003209,0,0.006,-100.013,0,10.5652,-33.273,-0.038,1,-94.2,58.0624,1,1,0,0,-0.07515,4138.1,-0.12,-76.858265,1,0.0,-0.035,0.63,0.12,-0.006,1.0,4.54,1,0.038,0,1.0,0.07515,0.03,0.035,94.2,-0.03,NOT PLANET
118,0.0,279.721286,0,0.006,-42.057,0,7.5622,147.495,-0.258,1,-110.5,70.0154,1,1,0,0,-0.6784,6058.6,-0.08,-85.709137,1,0.0,-0.214,1.39203,0.08,-0.006,1.0,4.2,1,0.258,0,1.0,0.6784,0.060098,0.214,110.5,-0.060098,NOT PLANET
121,0.0,155.607863,0,0.006,2.896,0,10.0068,9.065,-0.041,1,-138.9,281.314,1,1,0,0,-2.017,6501.0,-0.09,-82.218869,1,0.0,-0.045,1.74836,0.09,-0.006,1.0,4.08,1,0.041,0,1.0,2.017,0.0780452,0.045,138.9,-0.0780452,PLANET
122,0.0,274.221618,0,0.006,-13.85,0,9.941,6.355,-0.058,1,-220.0,417.08,1,1,0,0,-7.204,7860.0,-0.07,-68.197779,1,0.0,-0.048,1.91,0.07,-0.006,1.0,4.15,1,0.058,0,1.0,7.204,0.11,0.048,220.0,-0.11,NOT PLANET
123,0.0,30.198486,0,0.006,-33.25,0,9.7906,58.003,-0.036,1,-65.7,102.238,1,1,0,0,-0.2185,5317.0,-0.08,-77.610376,1,0.0,-0.047,0.91,0.08,-0.006,1.0,4.49,1,0.036,0,1.0,0.2185,0.05,0.047,65.7,-0.05,NOT PLANET
124,0.0,0.774487,0,0.006,4.911,0,13.183,2.894,-0.025,1,,508.842,1,1,0,0,-3.896,5380.0,,-62.469317,1,0.0,-0.024,0.940697,,-0.006,1.0,4.4337,1,0.025,0,1.0,3.896,,0.024,,,PLANET
125,0.0,286.791829,0,0.006,-6.843,0,9.6789,3.879,-0.063,1,-128.4,243.838,1,1,0,0,-2.659,6610.0,-0.08,-58.697242,1,0.0,-0.068,1.64,0.08,-0.006,1.0,4.15,1,0.063,0,1.0,2.659,0.07,0.068,128.4,-0.07,NOT PLANET
126,0.0,291.373783,0,0.006,-8.387,0,9.3871,15.517,-0.05,1,-134.8,312.461,1,1,0,0,-4.28,7262.0,-0.08,-60.941042,1,0.0,-0.051,2.13,0.08,-0.006,1.0,4.0,1,0.05,0,1.0,4.28,0.08,0.051,134.8,-0.08,NOT PLANET
127,0.0,163.628917,0,0.006,-8.358,0,9.5162,-5.215,-0.042,1,-137.6,292.085,1,1,0,0,-1.9425,6819.0,-0.09,-87.269735,1,0.0,-0.043,2.21,0.09,-0.006,1.0,3.92,1,0.042,0,1.0,1.9425,0.09,0.043,137.6,-0.09,NOT PLANET
128,0.0,328.710839,0,0.007,-157.626,0,9.66865,247.896,-0.158,1,-157.0,23.8853,1,1,0,0,-0.05215,3469.0,-0.01,-77.337433,1,0.0,-0.187,0.53,0.01,-0.007,1.0,4.71,1,0.158,0,1.0,0.05215,0.02,0.187,157.0,-0.02,NOT PLANET
133,0.0,277.432937,0,0.006,-5.003,0,10.5084,-0.54,-1.063,1,-88.7,,1,1,0,0,,4898.4,,-44.625506,1,0.0,-1.063,,,-0.006,1.0,,1,1.063,0,1.0,,,1.063,88.7,,NOT PLANET
