,st_pmralim,ra,st_logglim,st_tmagerr1,st_pmdec,st_radlim,st_tmag,st_pmra,st_pmdecerr2,st_radsymerr,st_tefferr2,st_dist,st_loggsymerr,st_distsymerr,st_tefflim,st_distlim,st_disterr2,st_teff,st_loggerr2,dec,st_tmagsymerr,st_pmdeclim,st_pmraerr2,st_rad,st_loggerr1,st_tmagerr2,st_pmrasymerr,st_logg,st_teffsymerr,st_pmdecerr1,st_tmaglim,st_pmdecsymerr,st_disterr1,st_raderr1,st_pmraerr1,st_tefferr1,st_raderr2,tfopwg_disp
3515,0.0,288.092884,0,0.006,-2.767,0,13.0309,8.115,-1.429,1,-458.0,681.888,1,1,0,0,,6118.5,,77.922621,1,0.0,-1.429,,,-0.006,1.0,,1,1.429,0,1.0,,,1.429,458.0,,NOT PLANET
3522,0.0,49.262643,0,0.007,-412.827,0,11.2828,41.675,-0.074,1,-63.0,31.0597,1,1,0,0,-0.03405,3349.0,-0.395255,-42.244149,1,0.0,-0.055,0.388609,0.395255,-0.007,1.0,4.94138,1,0.074,0,1.0,0.03405,0.0116001,0.055,63.0,-0.0116001,PLANET
3523,0.0,49.262643,0,0.007,-412.827,0,11.2828,41.675,-0.074,1,-63.0,31.0597,1,1,0,0,-0.03405,3349.0,-0.395255,-42.244149,1,0.0,-0.055,0.388609,0.395255,-0.007,1.0,4.94138,1,0.074,0,1.0,0.03405,0.0116001,0.055,63.0,-0.0116001,PLANET
3531,0.0,243.935867,0,0.006,15.384,0,13.1815,-12.953,-0.028,1,-122.0,679.411,1,1,0,0,-6.8585,5801.0,,48.325503,1,0.0,-0.028,1.11792,,-0.006,1.0,4.36,1,0.028,0,1.0,6.8585,,0.028,122.0,,NOT PLANET
3532,0.0,233.694873,0,0.007,7.924,0,13.3675,1.98,-0.03,1,-122.0,915.093,1,1,0,0,-11.8025,6409.0,,79.449837,1,0.0,-0.027,1.18,,-0.007,1.0,4.4,1,0.03,0,1.0,11.8025,,0.027,122.0,,NOT PLANET
3545,0.0,47.82774,0,0.006,-1.595,0,9.6114,-46.296,-0.039,1,-187.0,109.991,1,1,0,0,-0.3125,5600.0,-0.269206,-35.628068,1,0.0,-0.031,0.98,0.269206,-0.006,1.0,4.43748,1,0.039,0,1.0,0.3125,0.05,0.031,187.0,-0.05,NOT PLANET
3549,0.0,26.687843,0,0.021,-4.869,0,11.6433,-2.054,-0.039,1,-184.4,732.131,1,1,0,0,-14.4435,7047.0,-0.09,63.612237,1,0.0,-0.031,2.46,0.09,-0.021,1.0,3.85,1,0.039,0,1.0,14.4435,0.11,0.031,184.4,-0.11,NOT PLANET
3553,0.0,217.925779,0,0.027,10.376,0,11.2961,-16.728,-0.039,1,-205.3,301.676,1,1,0,0,-2.209,6071.0,-0.09,83.372706,1,0.0,-0.038,1.12,0.09,-0.027,1.0,4.39,1,0.039,0,1.0,2.209,0.05,0.038,205.3,-0.05,PLANET
3556,0.0,104.181674,0,0.006,-224.185,0,9.1536,3.117,-0.038,1,-71.5,53.3027,1,1,0,0,-0.0604,4913.8,-0.16,-60.687954,1,0.0,-0.044,0.73,0.16,-0.006,1.0,4.54,1,0.038,0,1.0,0.0604,0.05,0.044,71.5,-0.05,NOT PLANET
3558,0.0,277.979234,0,0.007,-17.995,0,11.2834,0.669,-0.045,1,-130.0,337.362,1,1,0,0,-2.514,6171.0,-0.08,39.669309,1,0.0,-0.039,1.2,0.08,-0.007,1.0,4.35,1,0.045,0,1.0,2.514,0.06,0.039,130.0,-0.06,NOT PLANET
3568,0.0,56.815012,0,0.006,-12.788,0,10.0081,-26.194,-0.045,1,-130.8,223.145,1,1,0,0,-1.186,6000.2,-0.11,-52.985207,1,0.0,-0.038,1.33,0.11,-0.006,1.0,4.36,1,0.045,0,1.0,1.186,0.05,0.038,130.8,-0.05,NOT PLANET
3571,0.0,297.484569,0,0.006,-9.643,0,11.812,9.247,-0.084,1,-152.1,185.25,1,1,0,0,-1.4125,5221.0,-0.09,73.086464,1,0.0,-0.074,0.76,0.09,-0.006,1.0,4.62,1,0.084,0,1.0,1.4125,0.04,0.074,152.1,-0.04,NOT PLANET
3579,0.0,54.819538,0,0.006,-110.627,0,7.757,-51.664,-0.062,1,-193.0,62.7792,1,1,0,0,-0.11585,6101.0,-0.262054,-42.763028,1,0.0,-0.044,1.11672,0.262054,-0.006,1.0,4.38774,1,0.062,0,1.0,0.11585,0.0480905,0.044,193.0,-0.0480905,PLANET
3580,0.0,54.819538,0,0.006,-110.627,0,7.757,-51.664,-0.062,1,-193.0,62.7792,1,1,0,0,-0.11585,6101.0,-0.262054,-42.763028,1,0.0,-0.044,1.11672,0.262054,-0.006,1.0,4.38774,1,0.062,0,1.0,0.11585,0.0480905,0.044,193.0,-0.0480905,PLANET
3581,0.0,244.441282,0,0.007,10.34,0,11.1315,-3.663,-0.054,1,-122.5,417.852,1,1,0,0,-5.1525,6377.0,-0.09,69.447713,1,0.0,-0.058,1.53,0.09,-0.007,1.0,4.17,1,0.054,0,1.0,5.1525,0.07,0.058,122.5,-0.07,NOT PLANET
3587,0.0,271.403617,0,0.006,-8.035,0,12.4627,-3.927,-2.107,1,,504.87,1,1,0,0,,5979.9,,47.550327,1,0.0,-2.107,1.63,,-0.006,1.0,,1,2.107,0,1.0,,,2.107,,,NOT PLANET
3591,0.0,64.311488,0,0.006,-0.54,0,8.7929,11.45,-0.076,1,-229.0,460.728,1,1,0,0,-7.059,8666.0,-0.468308,-38.844171,1,0.0,-0.057,3.13,0.468308,-0.006,1.0,3.80083,1,0.076,0,1.0,7.059,0.1,0.057,229.0,-0.1,NOT PLANET
3598,0.0,108.818021,0,0.006,-107.544,0,12.3454,2.306,-0.029,1,-126.2,107.33,1,1,0,0,-0.1835,4016.0,-0.11,81.220983,1,0.0,-0.024,0.58,0.11,-0.006,1.0,4.72,1,0.029,0,1.0,0.1835,0.06,0.024,126.2,-0.06,NOT PLANET
3599,0.0,105.404552,0,0.006,-3.195,0,11.0383,3.353,-0.058,1,-138.4,319.632,1,1,0,0,-3.317,6433.0,-0.09,72.41493,1,0.0,-0.042,1.25,0.09,-0.006,1.0,4.36,1,0.058,0,1.0,3.317,0.06,0.042,138.4,-0.06,PLANET
3602,0.0,66.370902,0,0.007,2.623,0,9.6757,-0.369,-0.06,1,,246.69,1,1,0,0,-1.807,6600.0,,-30.600436,1,0.0,-0.047,1.48532,,-0.007,1.0,4.20892,1,0.06,0,1.0,1.807,0.0727839,0.047,,-0.0727839,PLANET
3603,0.0,116.069722,0,0.006,14.425,0,10.7386,10.168,-0.111,1,-125.3,148.525,1,1,0,0,-1.349,4812.0,-0.09,68.826258,1,0.0,-0.077,1.08,0.09,-0.006,1.0,4.26,1,0.111,0,1.0,1.349,0.07,0.077,125.3,-0.07,NOT PLANET
3607,0.0,70.506153,0,0.006,-3.64,0,11.2063,-36.416,-0.054,1,-131.7,228.59,1,1,0,0,-1.121,5987.0,-0.08,79.987529,1,0.0,-0.034,0.89,0.08,-0.006,1.0,4.58,1,0.054,0,1.0,1.121,0.04,0.034,131.7,-0.04,NOT PLANET
3608,0.0,271.493129,0,0.009,28.005,0,10.5893,1.263,-0.062,1,-200.2,421.5,1,1,0,0,-4.582,6150.0,-0.09,78.049292,1,0.0,-0.044,2.05,0.09,-0.009,1.0,3.9,1,0.062,0,1.0,4.582,0.09,0.044,200.2,-0.09,NOT PLANET
3610,0.0,77.612879,0,0.009,-2.936,0,10.8557,19.859,-0.043,1,-129.2,334.993,1,1,0,0,-3.2815,6244.0,-0.09,70.391079,1,0.0,-0.035,1.47,0.09,-0.009,1.0,4.19,1,0.043,0,1.0,3.2815,0.07,0.035,129.2,-0.07,PLANET
3611,0.0,227.532153,0,0.007,-7.813,0,11.2633,13.268,-0.035,1,-140.0,505.703,1,1,0,0,-5.0755,5988.0,-0.08,72.710313,1,0.0,-0.039,1.88626,0.08,-0.007,1.0,3.93,1,0.035,0,1.0,5.0755,0.0869244,0.039,140.0,-0.0869244,PLANET
3612,0.0,24.670602,0,0.008,2.243,0,12.9551,-9.382,-0.025,1,-128.9,610.592,1,1,0,0,-5.668,5999.0,-0.08,80.433347,1,0.0,-0.03,1.16,0.08,-0.008,1.0,4.36,1,0.025,0,1.0,5.668,0.06,0.03,128.9,-0.06,NOT PLANET
3613,0.0,36.853585,0,0.006,3.015,0,9.15779,48.163,-0.062,1,-76.0,115.124,1,1,0,0,-0.5345,5773.74,-0.12,-12.03893,1,0.0,-0.066,1.23,0.12,-0.006,1.0,3.51,1,0.062,0,1.0,0.5345,0.06,0.066,76.0,-0.06,NOT PLANET
3617,0.0,70.100556,0,0.007,-4.504,0,12.1158,10.058,-0.099,1,-126.4,1283.53,1,1,0,0,-58.315,6126.0,-0.09,81.077272,1,0.0,-0.064,3.31,0.09,-0.007,1.0,3.46,1,0.099,0,1.0,58.315,0.21,0.064,126.4,-0.21,NOT PLANET
3619,0.0,39.429743,0,0.006,-13.413,0,11.5241,11.766,-0.044,1,-155.1,205.387,1,1,0,0,-1.1905,5421.0,-0.08,80.267384,1,0.0,-0.04,0.86,0.08,-0.006,1.0,4.54,1,0.044,0,1.0,1.1905,0.05,0.04,155.1,-0.05,PLANET
3622,0.0,30.021663,0,0.006,-5.546,0,12.0672,-3.332,-0.049,1,-201.8,204.639,1,1,0,0,-1.293,4939.0,-0.1,77.369001,1,0.0,-0.051,0.79,0.1,-0.006,1.0,4.55,1,0.049,0,1.0,1.293,0.05,0.051,201.8,-0.05,NOT PLANET
3624,0.0,62.616081,0,0.006,-6.511,0,10.5831,2.379,-0.045,1,,381.174,1,1,0,0,-3.2035,6450.0,,-45.898243,1,0.0,-0.035,1.68443,,-0.006,1.0,4.03776,1,0.045,0,1.0,3.2035,0.07301,0.035,,-0.07301,PLANET
3628,0.0,335.39347,0,0.006,8.273,0,11.1477,16.33,-0.038,1,-231.7,423.84,1,1,0,0,-3.6345,6411.0,-0.1,82.216079,1,0.0,-0.041,1.67219,0.1,-0.006,1.0,4.1,1,0.038,0,1.0,3.6345,0.0757286,0.041,231.7,-0.0757286,PLANET
3630,0.0,325.636227,0,0.006,27.596,0,11.2473,31.487,-0.037,1,-389.6,240.737,1,1,0,0,-1.2675,6142.0,-0.11,77.734384,1,0.0,-0.041,0.95,0.11,-0.006,1.0,4.55,1,0.037,0,1.0,1.2675,0.05,0.041,389.6,-0.05,PLANET
3633,0.0,345.981898,0,0.022,-5.791,0,11.5576,15.327,-0.037,1,-183.5,348.692,1,1,0,0,-3.26,6655.0,-0.09,85.443022,1,0.0,-0.042,1.11,0.09,-0.022,1.0,4.5,1,0.037,0,1.0,3.26,0.05,0.042,183.5,-0.05,NOT PLANET
3636,0.0,48.854393,0,0.006,-6.859,0,8.28222,29.757,-0.08,1,-35.2,131.962,1,1,0,0,-0.76,6084.8,-0.31,-2.175314,1,0.0,-0.089,1.82,0.31,-0.006,1.0,4.01,1,0.08,0,1.0,0.76,0.08,0.089,35.2,-0.08,NOT PLANET
3644,0.0,285.797008,0,0.006,14.124,0,12.9474,13.523,-0.032,1,-127.5,359.643,1,1,0,0,-2.5885,5095.0,-0.09,57.388177,1,0.0,-0.039,0.84,0.09,-0.006,1.0,4.52,1,0.032,0,1.0,2.5885,0.05,0.039,127.5,-0.05,NOT PLANET
3647,0.0,110.851802,0,0.006,6.38,0,10.0793,-32.194,-0.033,1,-179.5,186.807,1,1,0,0,-0.679,5834.2,-0.11,-58.696738,1,0.0,-0.039,1.27,0.11,-0.006,1.0,4.24,1,0.033,0,1.0,0.679,0.08,0.039,179.5,-0.08,NOT PLANET
3656,0.0,192.13314,0,0.006,-23.867,0,10.0415,-64.101,-0.049,1,-130.2,197.507,1,1,0,0,-2.1175,5702.0,-0.08,-13.65338,1,0.0,-0.081,1.42,0.08,-0.006,1.0,4.14,1,0.049,0,1.0,2.1175,0.07,0.081,130.2,-0.07,NOT PLANET
3658,0.0,60.385539,0,0.006,20.276,0,10.3074,-18.665,-0.052,1,,117.598,1,1,0,0,-0.5975,5260.0,,-20.450999,1,0.0,-0.051,0.844379,,-0.006,1.0,4.51363,1,0.052,0,1.0,0.5975,0.0442312,0.051,,-0.0442312,PLANET
3660,0.0,42.812401,0,0.0,-0.781,0,15.951,1.758,-0.083,1,,5885.3,1,1,0,0,-1094.32,31000.0,,-73.155511,1,0.0,-0.085,0.18,,0.0,1.0,5.59998,1,0.083,0,1.0,1094.32,0.104,0.085,,-0.104,NOT PLANET
3663,0.0,43.828475,0,0.007,165.735,0,14.2612,79.049,-0.109,1,-99.0,69.3649,1,1,0,0,-0.3229,3147.0,-0.551884,-79.414704,1,0.0,-0.151,0.240807,0.551884,-0.007,1.0,5.04654,1,0.109,0,1.0,0.3229,0.0074119,0.151,99.0,-0.0074119,PLANET
3667,0.0,290.672257,0,0.008,-37.911,0,13.0123,-8.162,-0.045,1,-169.0,148.134,1,1,0,0,-0.8115,3919.0,-0.262631,-51.426409,1,0.0,-0.048,0.593317,0.262631,-0.008,1.0,4.63413,1,0.045,0,1.0,0.8115,0.0176925,0.048,169.0,-0.0176925,NOT PLANET
3669,0.0,104.153958,0,0.007,454.289,0,10.5886,-150.879,-0.06,1,-188.7,42.76,1,1,0,0,-0.04985,4119.1,-0.07,-59.181309,1,0.0,-0.05,0.555,0.07,-0.007,1.0,4.73,1,0.06,0,1.0,0.04985,0.018,0.05,188.7,-0.018,NOT PLANET
3680,0.0,78.447702,0,0.006,-51.312,0,10.6152,43.091,-0.053,1,-518.8,145.407,1,1,0,0,-0.877,5747.3,-0.31,7.055842,1,0.0,-0.064,0.85,0.31,-0.006,1.0,4.57,1,0.053,0,1.0,0.877,0.04,0.064,518.8,-0.04,NOT PLANET
3682,0.0,90.474724,0,0.008,6.204,0,13.5011,11.721,-0.064,1,-157.0,189.011,1,1,0,0,-0.9885,3790.0,-0.01,-13.461371,1,0.0,-0.057,0.61,0.01,-0.008,1.0,4.64,1,0.064,0,1.0,0.9885,0.02,0.057,157.0,-0.02,PLANET
3688,0.0,98.313616,0,0.014,1.328,0,13.3581,-2.766,-0.038,1,-122.0,1719.42,1,1,0,0,-67.545,7248.0,,-4.1063,1,0.0,-0.039,2.23,,-0.014,1.0,3.95,1,0.038,0,1.0,67.545,,0.039,122.0,,NOT PLANET
3691,0.0,81.853282,0,0.006,50.45,0,9.2711,-35.687,-0.064,1,-189.0,74.7969,1,1,0,0,-0.2035,5718.0,-2.00367,-14.27674,1,0.0,-0.046,0.860124,2.00367,-0.006,1.0,4.35658,1,0.064,0,1.0,0.2035,0.0494975,0.046,189.0,-0.0494975,PLANET
3692,0.0,81.853282,0,0.006,50.45,0,9.2711,-35.687,-0.064,1,-189.0,74.7969,1,1,0,0,-0.2035,5718.0,-2.00367,-14.27674,1,0.0,-0.046,0.860124,2.00367,-0.006,1.0,4.35658,1,0.064,0,1.0,0.2035,0.0494975,0.046,189.0,-0.0494975,PLANET
3696,0.0,117.475892,0,0.007,1.018,0,12.6825,-4.925,-0.027,1,-129.6,656.326,1,1,0,0,-10.5245,6259.0,-0.09,-10.381904,1,0.0,-0.042,1.23,0.09,-0.007,1.0,4.34,1,0.027,0,1.0,10.5245,0.06,0.042,129.6,-0.06,NOT PLANET
3699,0.0,111.293211,0,0.011,0.375,0,11.2486,-2.694,-0.079,1,-1083.8,1675.78,1,1,0,0,-176.07,8582.7,-1.23,-8.620052,1,0.0,-0.093,,1.23,-0.011,1.0,4.08,1,0.079,0,1.0,176.07,,0.093,1083.8,,NOT PLANET
3700,0.0,112.729853,0,0.01,3.376,0,13.5295,-6.705,-0.035,1,-122.0,927.754,1,1,0,0,-19.568,6325.0,,-28.684266,1,0.0,-0.031,1.15885,,-0.01,1.0,4.41,1,0.035,0,1.0,19.568,,0.031,122.0,,NOT PLANET
3702,0.0,113.982909,0,0.011,7.815,0,16.0657,-9.684,-0.132,1,-124.0,695.78,1,1,0,0,-36.3075,3901.0,,-30.748181,1,0.0,-0.111,0.75,,-0.011,1.0,4.47,1,0.132,0,1.0,36.3075,,0.111,124.0,,NOT PLANET
3706,0.0,110.868087,0,0.007,-4.636,0,12.9913,-3.72,-0.052,1,-123.6,1246.21,1,1,0,0,-49.09,6158.0,-0.09,3.134948,1,0.0,-0.058,2.09,0.09,-0.007,1.0,3.87,1,0.052,0,1.0,49.09,0.13,0.058,123.6,-0.13,NOT PLANET
3709,0.0,117.121112,0,0.01,0.806,0,9.7402,-2.377,-0.071,1,-124.0,1658.75,1,1,0,0,-153.26,10262.0,,-19.340207,1,0.0,-0.066,7.03693,,-0.01,1.0,,1,0.071,0,1.0,153.26,,0.066,124.0,,NOT PLANET
3713,0.0,110.294291,0,0.017,1.827,0,13.5964,-1.076,-0.035,1,-123.0,2348.86,1,1,0,0,-165.835,9024.0,,-9.500598,1,0.0,-0.043,2.0,,-0.017,1.0,4.19,1,0.035,0,1.0,165.835,,0.043,123.0,,NOT PLANET
3714,0.0,76.081891,0,0.006,10.822,0,10.4408,20.664,-0.056,1,-125.1,202.218,1,1,0,0,-1.6835,6072.0,-0.08,-6.22978,1,0.0,-0.064,1.0977401,0.08,-0.006,1.0,4.41,1,0.056,0,1.0,1.6835,0.0531332,0.064,125.1,-0.0531332,PLANET
3717,0.0,115.809569,0,0.006,8.553,0,13.5184,-17.136,-0.032,1,-122.0,591.382,1,1,0,0,-7.0885,5699.0,,-26.239291,1,0.0,-0.028,0.89,,-0.006,1.0,4.55,1,0.032,0,1.0,7.0885,,0.028,122.0,,NOT PLANET
3718,0.0,113.266602,0,0.009,9.271,0,13.5689,-5.172,-0.031,1,-122.0,1469.53,1,1,0,0,-37.92,6079.0,,-30.104096,1,0.0,-0.026,1.94,,-0.009,1.0,3.92,1,0.031,0,1.0,37.92,,0.026,122.0,,NOT PLANET
3720,0.0,106.633113,0,0.006,4.019,0,13.0556,-1.926,-0.024,1,-122.0,706.679,1,1,0,0,-7.333,6044.0,,-38.054496,1,0.0,-0.026,1.25,,-0.006,1.0,4.29,1,0.024,0,1.0,7.333,,0.026,122.0,,NOT PLANET
3725,0.0,71.921274,0,0.006,19.567,0,10.5094,-13.762,-0.044,1,-122.9,103.69,1,1,0,0,-0.3405,5059.0,-0.09,-17.745004,1,0.0,-0.036,0.75,0.09,-0.006,1.0,4.61,1,0.044,0,1.0,0.3405,0.05,0.036,122.9,-0.05,NOT PLANET
3736,0.0,78.098877,0,0.01,-4.76,0,11.5781,0.246,-0.047,1,-160.0,631.385,1,1,0,0,-11.4895,6896.7,-1.78,-13.605635,1,0.0,-0.042,1.62,1.78,-0.01,1.0,4.17,1,0.047,0,1.0,11.4895,0.07,0.042,160.0,-0.07,NOT PLANET
3738,0.0,138.052275,0,0.007,3.348,0,12.5405,-5.496,-0.044,1,-185.2,1297.87,1,1,0,0,-46.94,9421.0,-0.07,-39.657928,1,0.0,-0.041,1.79,0.07,-0.007,1.0,4.31,1,0.044,0,1.0,46.94,0.08,0.041,185.2,-0.08,NOT PLANET
3742,0.0,124.351447,0,0.01,6.8,0,12.5225,-3.26,-0.045,1,-168.4,1131.58,1,1,0,0,-41.115,8330.0,-0.08,-45.406543,1,0.0,-0.048,2.26,0.08,-0.01,1.0,4.04,1,0.045,0,1.0,41.115,0.1,0.048,168.4,-0.1,NOT PLANET
3743,0.0,141.247814,0,0.008,8.119,0,12.7158,-7.42,-0.036,1,-136.7,1391.51,1,1,0,0,-45.805,6519.0,-0.09,-42.799765,1,0.0,-0.036,3.25,0.09,-0.008,1.0,3.54,1,0.036,0,1.0,45.805,0.17,0.036,136.7,-0.17,NOT PLANET
3744,0.0,138.741096,0,0.006,7.292,0,11.7159,-10.617,-0.047,1,-142.9,407.374,1,1,0,0,-4.4685,7192.0,-0.08,-45.122969,1,0.0,-0.045,1.1,0.08,-0.006,1.0,4.56,1,0.047,0,1.0,4.4685,0.04,0.045,142.9,-0.04,NOT PLANET
3745,0.0,137.490377,0,0.008,0.456,0,13.3285,-3.138,-0.033,1,-122.0,1080.66,1,1,0,0,-24.895,6353.0,,-43.201719,1,0.0,-0.037,2.13,,-0.008,1.0,3.88,1,0.033,0,1.0,24.895,,0.037,122.0,,NOT PLANET
3749,0.0,137.285031,0,0.006,2.327,0,13.7682,-2.682,-2.915,1,-529.9,,1,1,0,0,,3810.2,,-46.184649,1,0.0,-2.915,,,-0.006,1.0,,1,2.915,0,1.0,,,2.915,529.9,,NOT PLANET
3751,0.0,148.08664,0,0.006,3.585,0,13.5379,-6.708,-0.046,1,-122.0,1001.77,1,1,0,0,-25.359,6071.0,,-34.95789,1,0.0,-0.04,1.3925,,-0.006,1.0,4.2,1,0.046,0,1.0,25.359,,0.04,122.0,,NOT PLANET
3753,0.0,128.701521,0,0.006,14.66,0,12.1162,-12.294,-0.04,1,-127.7,538.114,1,1,0,0,-6.523,5895.0,-0.08,-56.331828,1,0.0,-0.043,1.53,0.08,-0.006,1.0,4.1,1,0.04,0,1.0,6.523,0.07,0.043,127.7,-0.07,NOT PLANET
3756,0.0,119.311724,0,0.006,6.065,0,11.0418,-22.247,-2.116,1,,433.157,1,1,0,0,,8265.0,,-56.962926,1,0.0,-3.449,2.12,,-0.006,1.0,,1,2.116,0,1.0,,,3.449,,,NOT PLANET
3759,0.0,168.563889,0,0.006,0.544,0,12.5695,-0.632,-0.027,1,-135.1,683.062,1,1,0,0,-10.8785,5886.0,-0.08,-37.910133,1,0.0,-0.026,1.58,0.08,-0.006,1.0,4.07,1,0.027,0,1.0,10.8785,0.08,0.026,135.1,-0.08,PLANET
3764,0.0,147.713157,0,0.007,-0.982,0,12.2951,-4.721,-1.184,1,-440.6,689.348,1,1,0,0,,6132.7,,-62.203109,1,0.0,-1.173,,,-0.007,1.0,,1,1.184,0,1.0,,,1.173,440.6,,NOT PLANET
3768,0.0,235.165334,0,0.006,-11.535,0,11.2851,-7.455,-0.039,1,-124.6,628.105,1,1,0,0,-9.0045,5914.8,-0.08,-81.203316,1,0.0,-0.037,2.7729599,0.08,-0.006,1.0,3.59,1,0.039,0,1.0,9.0045,0.144362,0.037,124.6,-0.144362,NOT PLANET
3771,,249.368745,0,0.006,,0,13.1335,,,1,-688.5,,1,1,0,0,,5558.7,,-80.974073,1,,,,,-0.006,,,1,,0,,,,,688.5,,NOT PLANET
3783,0.0,266.633808,0,0.006,-0.178,0,13.0566,3.862,-0.023,1,-122.0,641.969,1,1,0,0,-6.084,5878.0,,-70.409811,1,0.0,-0.02,1.13,,-0.006,1.0,4.36,1,0.023,0,1.0,6.084,,0.02,122.0,,NOT PLANET
3791,0.0,60.278439,0,0.006,-62.99,0,8.2482,40.555,-0.064,1,-78.3,66.5727,1,1,0,0,-0.19755,5997.7,,4.540868,1,0.0,-0.081,1.0,,-0.006,1.0,,1,0.064,0,1.0,0.19755,0.03,0.081,78.3,-0.03,NOT PLANET
3792,0.0,175.539949,0,0.006,-4.654,0,9.9747,-7.127,-0.044,1,-113.6,668.389,1,1,0,0,-12.815,7311.1,-1.73,-57.368489,1,0.0,-0.042,3.37,1.73,-0.006,1.0,4.16,1,0.044,0,1.0,12.815,0.11,0.042,113.6,-0.11,NOT PLANET
3796,0.0,126.615828,0,0.006,0.059,0,8.4642,-48.143,-0.059,1,-149.652,106.289,1,1,0,0,-0.672,6352.33,-0.0955413,10.080371,1,0.0,-0.104,1.31,0.0955413,-0.006,1.0,4.30502,1,0.059,0,1.0,0.672,0.07,0.104,149.652,-0.07,PLANET
3797,0.0,126.615828,0,0.006,0.059,0,8.4642,-48.143,-0.059,1,-149.652,106.289,1,1,0,0,-0.672,6352.33,-0.0955413,10.080371,1,0.0,-0.104,1.30883,0.0955413,-0.006,1.0,4.30502,1,0.059,0,1.0,0.672,0.0701232,0.104,149.652,-0.0701232,PLANET
3800,0.0,64.13091,0,0.008,-251.131,0,14.2683,218.534,-0.117,1,-157.0,32.4298,1,1,0,0,-0.07005,2887.0,-0.0427824,-28.315791,1,0.0,-0.096,0.155498,0.0427824,-0.008,1.0,5.15917,1,0.117,0,1.0,0.07005,0.0046867,0.096,157.0,-0.0046867,PLANET
3803,0.0,327.753069,0,0.006,-1.864,0,10.339,-72.111,-0.06,1,-180.0,108.932,1,1,0,0,-0.638,5015.0,-0.304279,-43.562364,1,0.0,-0.063,0.79,0.304279,-0.006,1.0,4.47652,1,0.06,0,1.0,0.638,0.05,0.063,180.0,-0.05,PLANET
3805,0.0,83.26925,0,0.006,150.766,0,8.1705,16.804,-0.048,1,-111.8,32.5686,1,1,0,0,-0.03115,4891.0,-0.08,-26.72387,1,0.0,-0.039,0.726632,0.08,-0.006,1.0,4.62,1,0.048,0,1.0,0.03115,0.042995,0.039,111.8,-0.042995,PLANET
3806,0.0,83.26925,0,0.006,150.766,0,8.1705,16.804,-0.048,1,-111.8,32.5686,1,1,0,0,-0.03115,4891.0,-0.08,-26.72387,1,0.0,-0.039,0.726632,0.08,-0.006,1.0,4.62,1,0.048,0,1.0,0.03115,0.042995,0.039,111.8,-0.042995,PLANET
3814,0.0,126.5535,0,0.006,-21.666,0,12.7462,15.565,-0.029,1,-129.041,413.591,1,1,0,0,-4.2685,5742.0,-0.0726594,12.281851,1,0.0,-0.043,0.86,0.0726594,-0.006,1.0,4.58473,1,0.029,0,1.0,4.2685,0.04,0.043,129.041,-0.04,PLANET
3818,0.0,57.865664,0,0.006,-2.798,0,12.6038,-3.356,-0.043,1,-114.5,746.646,1,1,0,0,-22.949,6846.0,,-10.614078,1,0.0,-0.051,1.2,,-0.006,1.0,4.23,1,0.043,0,1.0,22.949,0.04,0.051,114.5,-0.04,NOT PLANET
3819,0.0,51.640345,0,0.006,-22.812,0,8.6022,-2.359,-0.055,1,-125.293,79.208,1,1,0,0,-0.1595,5871.0,-0.0790908,-43.613665,1,0.0,-0.037,1.04,0.0790908,-0.006,1.0,4.43296,1,0.055,0,1.0,0.1595,0.05,0.037,125.293,-0.05,PLANET
3830,0.0,329.563915,0,0.039,0.468,0,11.8832,4.416,-0.034,1,-262.7,717.128,1,1,0,0,-10.569,5520.0,-0.09,71.131605,1,0.0,-0.036,2.7442901,0.09,-0.039,1.0,3.55,1,0.034,0,1.0,10.569,0.157266,0.036,262.7,-0.157266,PLANET
3831,0.0,78.778396,0,0.008,-1.801,0,9.1414,-2.243,-0.068,1,-134.5,547.126,1,1,0,0,-12.5735,8242.0,-0.07,-15.100464,1,0.0,-0.061,3.67,0.07,-0.008,1.0,3.61,1,0.068,0,1.0,12.5735,0.13,0.061,134.5,-0.13,NOT PLANET
3832,0.0,220.350188,0,0.006,-22.63,0,7.6581,-35.111,-0.087,1,-122.0,290.313,1,1,0,0,-4.595,4886.0,,-33.950483,1,0.0,-0.097,8.71,,-0.006,1.0,,1,0.087,0,1.0,4.595,,0.097,122.0,,NOT PLANET
3834,0.0,209.699173,0,0.006,-4.145,0,9.783,-18.488,-0.081,1,-129.1,269.304,1,1,0,0,-4.151,6793.0,-0.09,-40.619073,1,0.0,-0.08,1.68,0.09,-0.006,1.0,4.15,1,0.081,0,1.0,4.151,0.07,0.08,129.1,-0.07,NOT PLANET
3837,0.0,199.734195,0,0.007,-4.467,0,11.5124,-10.636,-0.048,1,-169.165,636.157,1,1,0,0,-15.602,8933.0,-0.0675799,-62.974419,1,0.0,-0.041,1.48,0.0675799,-0.007,1.0,4.45175,1,0.048,0,1.0,15.602,0.05,0.041,169.165,-0.05,NOT PLANET
3838,0.0,206.107013,0,0.007,69.023,0,11.0196,151.518,-0.135,1,-157.0,22.5455,1,1,0,0,-0.03825,3365.0,-0.0024242,-40.337351,1,0.0,-0.102,0.326568,0.0024242,-0.007,1.0,4.89744,1,0.135,0,1.0,0.03825,0.0098866,0.102,157.0,-0.0098866,PLANET
